rn	clust_M0_lam0.2_k25_kgeom30_res1	clust_M0_lam0.2_k50_kgeom30_res1	clust_M0_lam0.2_k100_kgeom30_res1
Br0942_afagfjob-1	X12	X11	X10
Br0942_afajlihb-1	X10	X12	X8
Br0942_afalkjfj-1	X12	X11	X16
Br0942_afaokhki-1	X20	X4	X15
Br0942_afaongjp-1	X16	X12	X8
Br0942_afbgnchb-1	X16	X12	X8
Br0942_afcfjmoe-1	X1	X1	X1
Br0942_afcgecbn-1	X8	X7	X7
Br0942_afcibape-1	X16	X12	X8
Br0942_afcodehg-1	X17	X11	X10
Br0942_afcoibak-1	X17	X11	X10
Br0942_afdckeip-1	X1	X1	X1
Br0942_afddcjba-1	X10	X12	X8
Br0942_afdlilpl-1	X1	X1	X1
Br0942_afdnbgec-1	X9	X9	X14
Br0942_afdnoaka-1	X10	X12	X8
Br0942_afdocehb-1	X1	X1	X1
Br0942_afdpjlhc-1	X8	X7	X7
Br0942_afecbdeb-1	X23	X16	X18
Br0942_afeecacm-1	X13	X11	X9
Br0942_afeffcnn-1	X12	X11	X10
Br0942_afegakhg-1	X14	X4	X11
Br0942_afegceaf-1	X5	X5	X4
Br0942_afegcgjk-1	X10	X10	X8
Br0942_afejccpk-1	X9	X9	X6
Br0942_afemmhkl-1	X17	X11	X10
Br0942_affakpfh-1	X9	X9	X14
Br0942_affdigek-1	X8	X7	X7
Br0942_afffpemb-1	X9	X6	X3
Br0942_affijcgb-1	X3	X4	X3
Br0942_affpefnd-1	X9	X8	X6
Br0942_afgcfajm-1	X12	X11	X10
Br0942_afgdocjh-1	X2	X2	X2
Br0942_afghbnlf-1	X9	X9	X6
Br0942_afghgdpc-1	X14	X4	X11
Br0942_afgmjbpj-1	X10	X12	X8
Br0942_afgnkhdf-1	X14	X4	X11
Br0942_afhdfkfi-1	X1	X1	X10
Br0942_afhhpgbi-1	X20	X18	X15
Br0942_afhidmmd-1	X2	X2	X2
Br0942_afhkdche-1	X12	X11	X10
Br0942_afhlfdmn-1	X12	X11	X10
Br0942_afhllfpb-1	X12	X11	X10
Br0942_afhndnmh-1	X14	X4	X11
Br0942_afhodalm-1	X1	X1	X1
Br0942_afhpjhag-1	X14	X4	X11
Br0942_afigmaag-1	X2	X2	X2
Br0942_afihmdkn-1	X8	X9	X14
Br0942_afimooin-1	X9	X9	X14
Br0942_afiniffk-1	X4	X2	X2
Br0942_afiommkh-1	X17	X11	X10
Br0942_afjhlckl-1	X17	X11	X10
Br0942_afjiebkp-1	X4	X15	X13
Br0942_afjjfoom-1	X8	X7	X7
Br0942_afjkinhl-1	X8	X7	X7
Br0942_afjmhmep-1	X6	X6	X5
Br0942_afkebihl-1	X4	X15	X13
Br0942_afkklcop-1	X3	X1	X1
Br0942_afkkogmj-1	X3	X1	X1
Br0942_afkponnd-1	X1	X1	X1
Br0942_aflafiif-1	X20	X18	X15
Br0942_afldbjjf-1	X8	X7	X7
Br0942_aflffabh-1	X9	X9	X14
Br0942_aflgabio-1	X8	X7	X7
Br0942_aflgojaa-1	X10	X12	X8
Br0942_afljmllo-1	X16	X12	X15
Br0942_afmekecp-1	X18	X4	X6
Br0942_afmkmglk-1	X3	X4	X3
Br0942_afmlnofb-1	X1	X1	X1
Br0942_afmomfpe-1	X9	X9	X14
Br0942_afnbagbl-1	X4	X15	X13
Br0942_afncocac-1	X10	X10	X8
Br0942_afnffbib-1	X1	X1	X1
Br0942_afnhaocg-1	X9	X9	X14
Br0942_afnjjijo-1	X18	X17	X6
Br0942_afnlajfm-1	X22	X4	X6
Br0942_afnnbono-1	X17	X11	X10
Br0942_afnobgga-1	X16	X17	X15
Br0942_afoakjbe-1	X9	X9	X14
Br0942_afocdmje-1	X11	X11	X10
Br0942_afodhokd-1	X19	X6	X13
Br0942_afodmnom-1	X19	X2	X2
Br0942_afokagbh-1	X1	X1	X1
Br0942_afpajpbo-1	X12	X11	X10
Br0942_afpejnfk-1	X12	X11	X10
Br0942_afpfefgd-1	X12	X11	X11
Br0942_agacgmcn-1	X6	X6	X5
Br0942_agagelab-1	X1	X1	X1
Br0942_agahobbj-1	X9	X4	X3
Br0942_agaibcob-1	X3	X4	X3
Br0942_agakifoc-1	X3	X4	X3
Br0942_aganoolj-1	X11	X11	X9
Br0942_agaofplh-1	X4	X15	X13
Br0942_agbcjpmi-1	X4	X15	X13
Br0942_agbkoaoc-1	X9	X9	X14
Br0942_agbmcoog-1	X6	X6	X5
Br0942_agbnlnaa-1	X2	X2	X2
Br0942_agbpomph-1	X1	X1	X1
Br0942_agcbnnmm-1	X2	X2	X2
Br0942_agceeokm-1	X12	X11	X10
Br0942_agcmacka-1	X6	X6	X5
Br0942_agcohfdf-1	X18	X12	X8
Br0942_agdaemkm-1	X8	X9	X14
Br0942_agdahlmn-1	X12	X11	X10
Br0942_agdfmjcb-1	X10	X12	X8
Br0942_agdhdbih-1	X8	X7	X7
Br0942_agdhpleb-1	X1	X1	X1
Br0942_agdijokc-1	X8	X7	X7
Br0942_agdjamkk-1	X17	X11	X10
Br0942_agdjedhk-1	X17	X11	X10
Br0942_agdkjlha-1	X9	X4	X6
Br0942_ageejddc-1	X19	X6	X13
Br0942_agefklmk-1	X1	X1	X1
Br0942_agehmagh-1	X11	X11	X10
Br0942_ageifgkn-1	X11	X4	X6
Br0942_ageoihob-1	X19	X4	X3
Br0942_agfefknd-1	X17	X11	X10
Br0942_agfkbekk-1	X17	X11	X10
Br0942_agfkfenk-1	X12	X11	X10
Br0942_agflpmfd-1	X10	X12	X8
Br0942_agfneihe-1	X9	X9	X14
Br0942_aggbolmd-1	X1	X1	X1
Br0942_agggckbb-1	X5	X5	X4
Br0942_aggjcgbp-1	X5	X5	X4
Br0942_aggmibhh-1	X17	X11	X10
Br0942_aggniimb-1	X14	X13	X9
Br0942_aggpggkb-1	X1	X1	X1
Br0942_aghbajbn-1	X13	X11	X9
Br0942_aghfoifd-1	X13	X11	X9
Br0942_aghhbgia-1	X10	X10	X8
Br0942_aghnejmk-1	X5	X5	X4
Br0942_agiclbkg-1	X1	X1	X1
Br0942_agicpglp-1	X9	X9	X6
Br0942_agigfkne-1	X19	X6	X5
Br0942_agihanhm-1	X12	X11	X10
Br0942_agijagfg-1	X9	X9	X14
Br0942_agilhhao-1	X1	X1	X1
Br0942_agilpiam-1	X20	X18	X15
Br0942_agimdhgf-1	X2	X2	X2
Br0942_agioffic-1	X12	X11	X10
Br0942_agioimim-1	X12	X11	X10
Br0942_agjaegke-1	X1	X1	X1
Br0942_agjbfnmk-1	X5	X5	X4
Br0942_agjbnmpb-1	X10	X12	X8
Br0942_agjfdafg-1	X12	X11	X10
Br0942_agjffbhg-1	X12	X11	X10
Br0942_agkabcbg-1	X3	X4	X3
Br0942_agkeomno-1	X2	X2	X2
Br0942_agkkcohn-1	X3	X3	X3
Br0942_aglbplgk-1	X3	X3	X3
Br0942_aglgnica-1	X6	X6	X5
Br0942_aglicknc-1	X4	X2	X2
